Date,Open,High,Low,Close,Adjusted_close,Volume
03/01/2022,177.83,182.88,177.71,182.01,179.9539,104487900
04/01/2022,182.63,182.94,179.12,179.7,177.67,99310400
05/01/2022,179.61,180.17,174.64,174.92,172.944,94537600
06/01/2022,172.7,175.3,171.64,172,170.057,96904000
07/01/2022,172.89,174.14,171.03,172.17,170.2251,86709100
10/01/2022,169.08,172.5,168.17,172.19,170.2448,106765600
11/01/2022,172.32,175.18,170.82,175.08,173.1022,76138300
12/01/2022,176.12,177.18,174.82,175.53,173.5471,74805200
13/01/2022,175.78,176.62,171.79,172.19,170.2448,84505800
14/01/2022,171.34,173.78,171.09,173.07,171.1149,80440800
18/01/2022,171.51,172.54,169.41,169.8,167.8818,90956700
19/01/2022,170,171.08,165.94,166.23,164.3522,94815000
20/01/2022,166.98,169.68,164.18,164.51,162.6516,91420500
21/01/2022,164.42,166.33,162.3,162.41,160.5753,122848900
24/01/2022,160.02,162.3,154.7,161.62,159.7942,162294600
25/01/2022,158.98,162.76,157.02,159.78,157.975,115798400
26/01/2022,163.5,164.39,157.82,159.69,157.886,108275300
27/01/2022,162.45,163.84,158.28,159.22,157.4213,121954600
28/01/2022,165.71,170.35,162.8,170.33,168.4058,179935700
31/01/2022,170.16,175,169.51,174.78,172.8056,115541600
01/02/2022,174.01,174.84,172.31,174.61,172.6375,86213900
02/02/2022,174.75,175.88,173.33,175.84,173.8536,84914300
03/02/2022,174.48,176.24,172.12,172.9,170.9468,89418100
04/02/2022,171.68,174.1,170.68,172.39,170.6597,82465400
07/02/2022,172.86,173.95,170.95,171.66,169.937,77251200
08/02/2022,171.73,175.35,171.43,174.83,173.0752,74829200
09/02/2022,176.05,176.65,174.9,176.28,174.5107,71285000
10/02/2022,174.14,175.48,171.55,172.12,170.3924,90865900
11/02/2022,172.33,173.08,168.04,168.64,166.9474,98670700
14/02/2022,167.37,169.58,166.56,168.88,167.185,86185500
15/02/2022,170.97,172.95,170.25,172.79,171.0557,62527400
16/02/2022,171.85,173.34,170.05,172.55,170.8181,61177400
17/02/2022,171.03,171.91,168.47,168.88,167.185,69589300
18/02/2022,169.82,170.54,166.19,167.3,165.6208,82772700
22/02/2022,164.98,166.69,162.15,164.32,162.6707,91162800
23/02/2022,165.54,166.15,159.75,160.07,158.4634,90009200
24/02/2022,152.58,162.85,152,162.74,161.1066,141147500
25/02/2022,163.84,165.12,160.87,164.85,163.1954,91974200
28/02/2022,163.06,165.42,162.43,165.12,163.4627,95056600
01/03/2022,164.7,166.6,161.97,163.2,161.562,83474400
02/03/2022,164.39,167.36,162.95,166.56,164.8882,79724800
03/03/2022,168.47,168.91,165.55,166.23,164.5616,76678400
04/03/2022,164.49,165.55,162.1,163.17,161.5323,83737200
07/03/2022,163.36,165.02,159.04,159.3,157.7011,96418800
08/03/2022,158.82,162.88,155.8,157.44,155.8598,131148300
09/03/2022,161.48,163.41,159.41,162.95,161.3145,91454900
10/03/2022,160.2,160.39,155.98,158.52,156.9289,105342000
11/03/2022,158.93,159.28,154.5,154.73,153.177,96970100
14/03/2022,151.45,154.12,150.1,150.62,149.1082,108732100
15/03/2022,150.9,155.57,150.38,155.09,153.5334,92964300
16/03/2022,157.05,160,154.46,159.59,157.9882,102300200
17/03/2022,158.61,161,157.63,160.62,159.0079,75615400
18/03/2022,160.51,164.48,159.76,163.98,162.3341,123511700
21/03/2022,163.51,166.35,163.01,165.38,163.7201,95811400
22/03/2022,165.51,169.42,164.91,168.82,167.1256,81532000
23/03/2022,167.99,172.64,167.65,170.21,168.5016,98062700
24/03/2022,171.06,174.14,170.21,174.07,172.3229,90131400
25/03/2022,173.88,175.28,172.75,174.72,172.9663,80546200
28/03/2022,172.17,175.73,172,175.6,173.8375,90371900
29/03/2022,176.69,179.01,176.34,178.96,177.1638,100589400
30/03/2022,178.55,179.61,176.7,177.77,175.9857,92633200
31/03/2022,177.84,178.03,174.4,174.61,172.8574,103049300
01/04/2022,174.03,174.88,171.94,174.31,172.5605,78751300
04/04/2022,174.57,178.49,174.44,178.44,176.649,76468400
05/04/2022,177.5,178.3,174.42,175.06,173.3029,73401800
06/04/2022,172.36,173.63,170.13,171.83,170.1053,89058800
07/04/2022,171.16,173.36,169.85,172.14,170.4122,77594700
08/04/2022,171.78,171.78,169.2,170.09,168.3828,76575500
11/04/2022,168.71,169.03,165.5,165.75,164.0864,72246700
12/04/2022,168.02,169.87,166.64,167.66,165.9772,79265200
13/04/2022,167.39,171.04,166.77,170.4,168.6897,70618900
14/04/2022,170.62,171.27,165.04,165.29,163.631,75329400
18/04/2022,163.92,166.6,163.57,165.07,163.4132,69023900
19/04/2022,165.02,167.82,163.91,167.4,165.7198,67723800
20/04/2022,168.76,168.88,166.1,167.23,165.5515,67929800
21/04/2022,168.91,171.53,165.91,166.42,164.7496,87227800
22/04/2022,166.46,167.87,161.5,161.79,160.1661,84882400
25/04/2022,161.12,163.17,158.46,162.88,161.2452,96046400
26/04/2022,162.25,162.34,156.72,156.8,155.2262,95623200
27/04/2022,155.91,159.79,155.38,156.57,154.9985,88063200
28/04/2022,159.25,164.52,158.93,163.64,161.9975,130216800
29/04/2022,161.84,166.2,157.25,157.65,156.0677,131747600
02/05/2022,156.71,158.23,153.27,157.96,156.3746,123055300
03/05/2022,158.15,160.71,156.32,159.48,157.8793,88966500
04/05/2022,159.67,166.48,159.26,166.02,164.3537,108256500
05/05/2022,163.85,164.08,154.95,156.77,155.1965,130525300
06/05/2022,156.01,159.44,154.18,157.28,155.9301,116124600
09/05/2022,154.93,155.83,151.49,152.06,150.7549,131577900
10/05/2022,155.52,156.74,152.93,154.51,153.1839,115366700
11/05/2022,153.5,155.45,145.81,146.5,145.2427,142689800
12/05/2022,142.77,146.2,138.8,142.56,141.3365,182602000
13/05/2022,144.59,148.1,143.11,147.11,145.8474,113990900
16/05/2022,145.55,147.52,144.18,145.54,144.2909,86643800
17/05/2022,148.86,149.77,146.68,149.24,147.9592,78336300
18/05/2022,146.85,147.36,139.9,140.82,139.6114,109742900
19/05/2022,139.88,141.66,136.6,137.35,136.1712,136095600
20/05/2022,139.09,140.7,132.61,137.59,136.4091,137426100
23/05/2022,137.79,143.26,137.65,143.11,141.8818,117726300
24/05/2022,140.81,141.97,137.33,140.36,139.1554,104132700
25/05/2022,138.43,141.79,138.34,140.52,139.314,92482700
26/05/2022,137.39,144.34,137.14,143.78,142.546,90601500
27/05/2022,145.39,149.68,145.26,149.64,148.3557,90978500
31/05/2022,149.07,150.66,146.84,148.84,147.5626,103718400
01/06/2022,149.9,151.74,147.68,148.71,147.4337,74286600
02/06/2022,147.83,151.27,146.86,151.21,149.9122,72348100
03/06/2022,146.9,147.97,144.46,145.38,144.1323,88570300
06/06/2022,147.03,148.57,144.9,146.14,144.8858,71598400
07/06/2022,144.35,149,144.1,148.71,147.4337,67808200
08/06/2022,148.58,149.87,147.46,147.96,146.6901,53950200
09/06/2022,147.08,147.95,142.53,142.64,141.4158,69473000
10/06/2022,140.28,140.76,137.06,137.13,135.9531,91437900
13/06/2022,132.87,135.2,131.44,131.88,130.7481,122207100
14/06/2022,133.13,133.89,131.48,132.76,131.6206,84784300
15/06/2022,134.29,137.34,132.16,135.43,134.2677,91533000
16/06/2022,132.08,132.39,129.04,130.06,128.9438,108123900
17/06/2022,130.07,133.08,129.81,131.56,130.4309,134520300
21/06/2022,133.42,137.06,133.32,135.87,134.7039,81000500
22/06/2022,134.79,137.76,133.91,135.35,134.1884,73409200
23/06/2022,136.82,138.59,135.63,138.27,137.0833,72433800
24/06/2022,139.9,141.91,139.77,141.66,140.4442,89116800
27/06/2022,142.7,143.49,140.97,141.66,140.4442,70207900
28/06/2022,142.13,143.42,137.32,137.44,136.2604,67083400
29/06/2022,137.46,140.67,136.67,139.23,138.0351,66242400
30/06/2022,137.25,138.37,133.77,136.72,135.5466,98964500
01/07/2022,136.04,139.04,135.66,138.93,137.7376,71051600
05/07/2022,137.77,141.61,136.93,141.56,140.3451,73353800
06/07/2022,141.35,144.12,141.08,142.92,141.6934,74064300
07/07/2022,143.29,146.55,143.28,146.35,145.094,66253700
08/07/2022,145.26,147.55,145,147.04,145.778,64547800
11/07/2022,145.67,146.64,143.78,144.87,143.6267,63141600
12/07/2022,145.76,148.45,145.05,145.86,144.6082,77588800
13/07/2022,142.99,146.45,142.12,145.49,144.2413,71185600
14/07/2022,144.08,148.95,143.25,148.47,147.1958,78140700
15/07/2022,149.78,150.86,148.2,150.17,148.8812,76259900
18/07/2022,150.74,151.57,146.7,147.07,145.8078,81420900
19/07/2022,147.92,151.23,146.91,151,149.704,82982400
20/07/2022,151.12,153.72,150.37,153.04,151.7265,64823400
21/07/2022,154.5,155.57,151.94,155.35,154.0167,65086600
22/07/2022,155.39,156.28,153.41,154.09,152.7675,66675400
25/07/2022,154.01,155.04,152.28,152.95,151.6373,53623900
26/07/2022,152.26,153.09,150.8,151.6,150.2989,55138700
27/07/2022,152.58,157.33,152.16,156.79,155.4444,78620700
28/07/2022,156.98,157.64,154.41,157.35,155.9995,81378700
29/07/2022,161.24,163.63,159.5,162.51,161.1153,101786900
01/08/2022,161.01,163.59,160.89,161.51,160.1238,67829400
02/08/2022,160.1,162.41,159.63,160.01,158.6367,59907000
03/08/2022,160.84,166.59,160.75,166.13,164.7042,82507500
04/08/2022,166.01,167.19,164.43,165.81,164.3869,55474100
05/08/2022,163.21,165.85,163,165.35,164.1586,56697000
08/08/2022,166.37,167.81,164.2,164.87,163.6821,60276900
09/08/2022,164.02,165.82,163.25,164.92,163.7317,63135500
10/08/2022,167.68,169.34,166.9,169.24,168.0206,70170500
11/08/2022,170.06,170.99,168.19,168.49,167.276,57149200
12/08/2022,169.82,172.17,169.4,172.1,170.86,68039400
15/08/2022,171.52,173.39,171.35,173.19,171.9421,54091700
16/08/2022,172.78,173.71,171.66,173.03,171.7833,56377100
17/08/2022,172.77,176.15,172.57,174.55,173.2923,79542000
18/08/2022,173.75,174.9,173.12,174.15,172.8952,62290100
19/08/2022,173.03,173.74,171.31,171.52,170.2841,70346300
22/08/2022,169.69,169.86,167.14,167.57,166.3626,69026800
23/08/2022,167.08,168.71,166.65,167.23,166.0251,54147100
24/08/2022,167.32,168.11,166.25,167.53,166.3229,53841500
25/08/2022,168.78,170.14,168.35,170.03,168.8049,51218200
26/08/2022,170.57,171.05,163.56,163.62,162.4411,78961000
29/08/2022,161.15,162.9,159.82,161.38,160.2172,73314000
30/08/2022,162.13,162.56,157.72,158.91,157.765,77906200
31/08/2022,160.31,160.58,157.14,157.22,156.0872,87991100
01/09/2022,156.64,158.42,154.67,157.96,156.8218,74229900
02/09/2022,159.75,160.36,154.97,155.81,154.6873,76957800
06/09/2022,156.47,157.09,153.69,154.53,153.4166,73714800
07/09/2022,154.82,156.67,153.61,155.96,154.8363,87449600
08/09/2022,154.64,156.36,152.68,154.46,153.3471,84923800
09/09/2022,155.47,157.82,154.75,157.37,156.2361,68028800
12/09/2022,159.59,164.26,159.3,163.43,162.2524,104956000
13/09/2022,159.9,160.54,153.37,153.84,152.7315,122656600
14/09/2022,154.79,157.1,153.61,155.31,154.1909,87965400
15/09/2022,154.65,155.24,151.38,152.37,151.2721,90481100
16/09/2022,151.21,151.35,148.37,150.7,149.6142,162278800
19/09/2022,149.31,154.56,149.1,154.48,153.3669,81474200
20/09/2022,153.4,158.08,153.08,156.9,155.7695,107689800
21/09/2022,157.34,158.74,153.6,153.72,152.6124,101696800
22/09/2022,152.38,154.47,150.91,152.74,151.6395,86652500
23/09/2022,151.19,151.47,148.56,150.43,149.3461,96029900
26/09/2022,149.66,153.77,149.64,150.77,149.6837,93339400
27/09/2022,152.74,154.72,149.95,151.76,150.6665,84442700
28/09/2022,147.64,150.64,144.84,149.84,148.7604,146691400
29/09/2022,146.1,146.72,140.68,142.48,141.4534,128138200
30/09/2022,141.28,143.1,138,138.2,137.2042,124925300
03/10/2022,138.21,143.07,137.69,142.45,141.4236,114311700
04/10/2022,145.03,146.22,144.26,146.1,145.0473,87830100
05/10/2022,144.07,147.38,143.01,146.4,145.3451,79471000
06/10/2022,145.81,147.54,145.22,145.43,144.3821,68402200
07/10/2022,142.54,143.1,139.45,140.09,139.0806,85925600
10/10/2022,140.42,141.89,138.57,140.42,139.4082,74899000
11/10/2022,139.9,141.35,138.22,138.98,137.9786,77033700
12/10/2022,139.13,140.36,138.16,138.34,137.3432,70433700
13/10/2022,134.99,143.59,134.37,142.99,141.9597,113224000
14/10/2022,144.31,144.52,138.19,138.38,137.3829,88598000
17/10/2022,141.07,142.9,140.27,142.41,141.3839,85250900
18/10/2022,145.49,146.7,140.61,143.75,142.7142,99136600
19/10/2022,141.69,144.95,141.5,143.86,142.8234,61758300
20/10/2022,143.02,145.89,142.65,143.39,142.3568,64522000
21/10/2022,142.87,147.85,142.65,147.27,146.2089,86548600
24/10/2022,147.19,150.23,146,149.45,148.3732,75981900
25/10/2022,150.09,152.49,149.36,152.34,151.2423,74732300
26/10/2022,150.96,151.99,148.04,149.35,148.2739,88194300
27/10/2022,148.07,149.05,144.13,144.8,143.7567,109180200
28/10/2022,148.2,157.5,147.82,155.74,154.6178,164762400
31/10/2022,153.16,154.24,151.92,153.34,152.2351,97943200
01/11/2022,155.08,155.45,149.13,150.65,149.5645,80379300
02/11/2022,148.95,152.17,145,145.03,143.985,93604600
03/11/2022,142.06,142.8,138.75,138.88,137.8793,97918500
04/11/2022,142.09,142.67,134.38,138.38,137.6108,140814800
07/11/2022,137.11,139.15,135.67,138.92,138.1478,83374600
08/11/2022,140.41,141.43,137.49,139.5,138.7246,89908500
09/11/2022,138.5,138.55,134.59,134.87,134.1203,74917800
10/11/2022,141.24,146.87,139.5,146.87,146.0536,118854000
11/11/2022,145.82,150.01,144.37,149.7,148.8679,93979700
14/11/2022,148.97,150.28,147.43,148.28,147.4558,73374100
15/11/2022,152.22,153.59,148.56,150.04,149.206,89868300
16/11/2022,149.13,149.87,147.29,148.79,147.963,64218300
17/11/2022,146.43,151.48,146.15,150.72,149.8822,80389400
18/11/2022,152.31,152.7,149.97,151.29,150.4491,74829600
21/11/2022,150.16,150.37,147.72,148.01,147.1873,58724100
22/11/2022,148.13,150.42,146.93,150.18,149.3452,51804100
23/11/2022,149.45,151.83,149.34,151.07,150.2303,58301400
25/11/2022,148.31,148.88,147.12,148.11,147.2867,35195900
28/11/2022,145.14,146.64,143.38,144.22,143.4184,69246000
29/11/2022,144.29,144.81,140.35,141.17,140.3853,83763800
30/11/2022,141.4,148.72,140.55,148.03,147.2072,111380900
01/12/2022,148.21,149.13,146.61,148.31,147.4856,71250400
02/12/2022,145.96,148,145.65,147.81,146.9884,65447400
05/12/2022,147.77,150.92,145.77,146.63,145.815,68826400
06/12/2022,147.07,147.3,141.92,142.91,142.1156,64727200
07/12/2022,142.19,143.37,140,140.94,140.1566,69721100
08/12/2022,142.36,143.52,141.1,142.65,141.8571,62128300
09/12/2022,142.34,145.57,140.9,142.16,141.3698,76097000
12/12/2022,142.7,144.5,141.06,144.49,143.6869,70462700
13/12/2022,149.5,149.97,144.24,145.47,144.6614,93886200
14/12/2022,145.35,146.66,141.16,143.21,142.414,82291200
15/12/2022,141.11,141.8,136.03,136.5,135.7413,98931900
16/12/2022,136.69,137.65,133.73,134.51,133.7623,160156900
19/12/2022,135.11,135.2,131.32,132.37,131.6342,79592600
20/12/2022,131.39,133.25,129.89,132.3,131.5646,77432800
21/12/2022,132.98,136.81,132.75,135.45,134.6971,85928000
22/12/2022,134.35,134.56,130.3,132.23,131.495,77852100
23/12/2022,130.92,132.42,129.64,131.86,131.1271,63814900
27/12/2022,131.38,131.41,128.72,130.03,129.3072,69007800
28/12/2022,129.67,131.03,125.87,126.04,125.3394,85438400
29/12/2022,127.99,130.48,127.73,129.61,128.8896,75703700
30/12/2022,128.41,129.95,127.43,129.93,129.2078,77034200
